,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,897529473444323328,NwabiafraOgidi,,0.52,0.46,,0.79,0.26,0.65,0.69,0.59,0.51
1,,20479054,yelobeli,,0.22,0.24,,0.33,0.18,0.19,0.13,0.17,0.12
2,,219425028,StillYesScot,,0.61,0.47,,0.44,0.44,0.47,0.51,0.55,0.63
3,,2749924740,rosselsewhere,,0.37,0.51,,0.43,0.23,0.42,0.29,0.23,0.11
4,,249168294,pozglobal,,0.49,0.51,,0.61,0.51,0.47,0.46,0.24,0.45
5,,,,,,,,,,,,,
6,,593175255,treballadors,,0.65,0.52,,0.41,0.41,0.53,0.39,0.41,0.53
7,,3011762136,mikefarley001,,0.32,0.28,,0.38,0.41,0.14,0.29,0.17,0.44
8,,194119186,EuropeUnion,,0.56,0.39,,0.6,0.55,0.5,0.61,0.38,0.24
9,,4838144877,markprince58,,0.3,0.32,,0.41,0.36,0.17,0.25,0.2,0.2
10,,886630300108849152,TaraShoghibadr,,0.45,0.49,,0.5,0.46,0.69,0.58,0.58,0.36
11,,731936015481348097,VoteLeaveEU1066,,0.37,0.46,,0.776666666667,0.48,0.854166666667,0.64,0.5,0.42
12,,745642144229097472,NYtitanic1999,,0.4,0.19,,0.56,0.1,0.15,0.41,0.26,0.29
13,,2447664324,UKreality,,0.46,0.26,,0.54,0.31,0.63,0.53,0.49,0.38
14,,,,,,,,,,,,,
15,,826764167268925442,IhracatCo,,0.38,0.48,,0.48,0.793147133651,0.856666666667,0.51,0.815,0.36
16,,2643740437,FBA_EUROPE,,0.51,0.66,,0.38,0.56,0.51,0.156666666667,0.3,0.64
17,,941286290,petit_denise,,0.38,0.35,,0.46,0.26,0.2,0.37,0.41,0.39
18,,237669302,Emilinehope,,0.27,0.3,,0.43,0.17,0.43,0.34,0.43,0.25
19,,780662906,preshn9,,0.4,0.44,,0.4,0.36,0.54,0.51,0.33,0.15
20,,292619181,scarletmonahan,,0.59,0.5,,0.4,0.51,0.52,0.49,0.29,0.49
21,,831987736915693574,pr0udwhite,,0.75,0.65,,0.64,0.73,0.57,0.52,0.47,0.54
22,,400422256,erikak58,,0.38,0.3,,0.36,0.3,0.26,0.28,0.11,0.03
23,,60999597,DiarioPuntual,,0.38,0.33,,0.62,0.4,0.38,0.25,0.19,0.51
24,,4301250748,MaldenSaboteur,,0.31,0.37,,0.51,0.21,0.41,0.32,0.13,0.22
25,,,,,,,,,,,,,
26,,494238249,aplansfe,,0.26,0.16,,0.49,0.44,0.29,0.24,0.36,0.07
27,,749275050587656192,Stuart7610,,0.23,0.2,,0.35,0.16,0.09,0.31,0.08,0.14
28,,26858219,BGeringer_exdem,,0.33,0.39,,0.43,0.39,0.44,0.3,0.34,0.17
29,,601707682,xfarell,,0.45,0.37,,0.41,0.23,0.51,0.24,0.32,0.21
30,,1286445456,RebuildRob,,0.57,0.77,,0.27,0.35,0.3,0.3,0.1,0.84
31,,39344279,natsocqueen,,0.39,0.39,,0.47,0.42,0.26,0.44,0.44,0.47
32,,2178018878,SergioTavaresUK,,0.29,0.24,,0.38,0.28,0.28,0.34,0.39,0.04
33,,18841200,achaigneau,,0.28,0.23,,0.53,0.23,0.3,0.22,0.19,0.15
34,,288429840,davidglen23,,0.41,0.23,,0.47,0.29,0.29,0.32,0.19,0.11
35,,3334614563,cmwheatley56,,0.37,0.34,,0.29,0.18,0.48,0.27,0.11,0.36
36,,3306718654,SpyServe,,0.44,0.52,,0.79,0.74,0.643,0.58,0.74,0.37
37,,566465982,benuR_RV,,0.4,0.22,,0.36,0.27,0.41,0.15,0.26,0.14
38,,555337622,JeanneBartram,,0.33,0.17,,0.4,0.24,0.4,0.28,0.35,0.41
39,,2260768729,IamSWaGodKing,,0.37,0.33,,0.42,0.26,0.53,0.45,0.07,0.21
40,,541491605,rehacij,,0.17,0.05,,0.4,0.05,0.18,0.09,0.1,0.07
41,,550415486,MissLauraMarcus,,0.29,0.19,,0.3,0.16,0.32,0.14,0.14,0.09
42,,2967997469,eduosborne,,0.37,0.3,,0.29,0.19,0.25,0.33,0.14,0.42
43,,910552964225318912,energy_bu,,0.49,0.58,,0.62,0.68,0.42,0.59,0.26,0.55
44,,3084884183,LePlanRex,,0.33,0.36,,0.35,0.22,0.43,0.29,0.37,0.27
45,,,,,,,,,,,,,
46,,29994217,softwareverify,,0.28,0.15,,0.31,0.26,0.06,0.26,0.32,0.12
47,,984620508,MaggieDownie,,0.24,0.15,,0.31,0.06,0.26,0.2,0.18,0.04
48,,47454092,Gregom10,,0.36,0.36,,0.56,0.26,0.42,0.57,0.58,0.28
49,,780840449963532288,TakingJobs,,0.51,0.42,,0.73,0.53,0.52,0.7,0.48,0.41
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,909047294657531904,Red38093202,,0.4,0.38,,0.38,0.45,0.61,0.47,0.65,0.6
53,,872175150048960514,b1ingoo,,0.49,0.49,,0.62,0.42,0.22,0.47,0.65,0.59
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,903566865280020480,Test54632,,0.5,0.56,,0.68,0.45,0.4,0.57,0.82,0.79
57,,903566166026706944,test54631,,0.6,0.48,,0.48,0.45,0.37,0.68,0.83,0.64
58,,909838610777681928,jdjfjfb2,,0.58,0.53,,0.51,0.51,0.53,0.6,0.79783919598,0.81
59,,,,,,,,,,,,,
60,,,,,,,,,,,,,
61,,909839289801986048,hdhdhf64044613,,0.58,0.53,,0.51,0.51,0.53,0.6,0.77,0.76
62,,909838858858242049,djfjfu2,,0.59,0.54,,0.51,0.51,0.53,0.6,0.85,0.81
63,,,,,,,,,,,,,
64,,909839411952615424,jdjdjhdj1,,0.58,0.53,,0.51,0.51,0.54,0.6,0.84,0.81
65,,909838302332772352,jdjdj54161303,,0.58,0.52,,0.51,0.51,0.53,0.6,0.81783919598,0.76
66,,909839524263612417,jdjfjfj21071898,,0.57,0.53,,0.51,0.51,0.53,0.6,0.79783919598,0.76
67,,,,,,,,,,,,,
68,,760394988547022848,PwC_JP_Brexit,,0.41,0.47,,0.58,0.52,0.6,0.25,0.14,0.11
69,,906486637168779265,trimifi,,0.54,0.51,,0.54,0.42,0.49,0.58,0.81,0.65
70,,910530938714693632,Edhg12,,0.56,0.6,,0.45,0.44,0.54,0.47,0.68,0.8
71,,909752556603265024,edhg8,,0.56,0.52,,0.53,0.56,0.5,0.47,0.46,0.76
72,,909779453282279429,ihom6,,0.6,0.61,,0.47,0.42,0.38,0.51,0.37,0.67
73,,1385246611,lovle_msg,,0.57,0.54,,0.49,0.48,0.34,0.54,0.67,0.52
74,,3231733362,NwokeBiafra,,0.57,0.47,,0.62,0.47,0.51,0.67,0.86,0.48
75,,748025034929807360,R0YALMAFIA,,0.43,0.52,,0.59,0.45,0.5,0.48,0.94,0.63
76,,910916766259392512,_grandk,,0.55,0.57,,0.54,0.41,0.36,0.3,0.75,0.74
77,,909146976113045506,uzukia2,,0.58,0.58,,0.6,0.45,0.31,0.53,0.68,0.82
78,,903986939254247424,uzukiaa,,0.57,0.57,,0.52,0.36,0.44,0.53,0.65,0.8
79,,2653245601,bellathornedis_,,0.57,0.52,,0.62,0.44,0.33,0.53,0.74,0.49
80,,844161068465373184,PoliKartoons,,0.34,0.29,,0.38,0.27,0.45,0.37,0.25,0.26
81,,19086048,harrih,,0.3,0.2,,0.33,0.31,0.16,0.38,0.16,0.2
