,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,361529806,douglasactivist,,0.46,0.28,,0.43,0.29,0.26,0.63,0.18,0.16
1,,3569191094,Ruben_Raaj,,0.56,0.53,,0.59,0.29,0.4,0.57,0.77,0.34
2,,9.10742E+17,PiratePorcupine,,0.31,0.39,,0.33,0.35,0.47,0.16,0.38,0.14
3,,187686801,FionaGrahame,,0.34,0.24,,0.46,0.16,0.35,0.15,0.08,0.16
4,,1325440970,Flerky_,,0.35,0.27,,0.5,0.33,0.35,0.53,0.43,0.37
5,,615284988,GeoffreyDWest,,0.35,0.19,,0.29,0.27,0.1,0.29,0.12,0.13
6,,28382070,avondale1,,0.23,0.31,,0.35,0.31,0.35,0.21,0.13,0.33
7,,174587422,aquimogli,,0.41,0.19,,0.413333333,0.31,0.31,0.09,0.37,0.13
8,,8.24669E+17,Bella_Luna245,,0.31,0.3,,0.3,0.29,0.13,0.17,0.24,0.15
9,,,,,,,,,,,,,
10,,4008778288,Algarsal65,,0.46,0.47,,0.55,0.45,0.31,0.52,0.48,0.33
11,,508014606,Wham2214,,0.23,0.2,,0.36,0.18,0.21,0.18,0.06,0.04
12,,32429400,PoliticoRyan,,0.42,0.37,,0.44,0.33,0.55,0.32,0.47,0.59
13,,180686225,handsblinx,,0.25,0.12,,0.34,0.17,0.04,0.15,0.08,0.01
14,,3405844077,sourceinst,,0.31,0.36,,0.37,0.45,0.4,0.29,0.44,0.51
15,,236020139,LaizyDaizey,,0.4,0.31,,0.46,0.41,0.45,0.18,0.26,0.21
16,,,,,,,,,,,,,
17,,4726209028,LISENDA31,,0.33,0.35,,0.413333333,0.1,0.15,0.14,0.27,0.28
18,,635478934,EducatingDonna,,0.33,0.26,,0.44,0.24,0.51,0.47,0.22,0.26
19,,9.01885E+17,be07fr09,,0.36,0.16,,0.53,0.26,0.21,0.2,0.21,0.1
20,,14773226,Eamonn_Forde,,0.23,0.15,,0.36,0.15,0.33,0.27,0.1,0.18
21,,367866899,jonotrago,,0.31,0.29,,0.44,0.18,0.56,0.05,0.02,0.11
22,,8.40323E+17,albaforeurope,,0.39,0.42,,0.45,0.32,0.48,0.28,0.21,0.21
23,,23446496,nevilleadaniels,,0.52,0.6,,0.42,0.42,0.36,0.34,0.23,0.54
24,,1928492846,gavthebrexit,,0.45,0.42,,0.3,0.42,0.44,0.26,0.24,0.23
