,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,67309106,theodoratongas,,0.25,0.35,,0.355,0.27,0.4,0.33,0.6,0.3
1,,2670832232,WillowsCrayon,,0.23,0.15,,0.5,0.2,0.07,0.13,0.24,0.11
2,,2795465310,Au_Legrand,,0.38,0.37,,0.396666666667,0.31,0.4,0.17,0.19,0.31
3,,409119091,DebsRWalton,,0.21,0.23,,0.36,0.25,0.16,0.33,0.15,0.05
4,,17362917,CrispySea,,0.42,0.35,,0.61,0.3,0.44,0.32,0.25,0.19
5,,20463983,MartinSonneborn,,0.48,0.5,,0.423333333333,0.46,0.42,0.31,0.42,0.52
6,,24947505,TheNewStatsman,,0.33,0.37,,0.5,0.32,0.31,0.3,0.21,0.42
7,,704314834729496577,_S_a_n_d_y_,,0.42,0.39,,0.68,0.42,0.618333333333,0.41,0.8,0.44
8,,424525094,erinn_ox,,0.29,0.28,,0.35,0.28,0.47,0.28,0.14,0.05
9,,207424440,The_IGC,,0.48,0.43,,0.65,0.61,0.35,0.51,0.26,0.32
10,,2711336076,letemps,,0.34,0.43,,0.54,0.45,0.39,0.26,0.21,0.6
11,,235115635,ThomasintVeld,,0.3,0.24,,0.39,0.17,0.34,0.34,0.37,0.04
12,,320301062,FAHarms,,0.37,0.39,,0.56,0.27,0.3,0.22,0.31,0.15
13,,541791988,aptsw1,,0.28,0.31,,0.25,0.4,0.37,0.12,0.14,0.07
14,,3109199648,RNTheMinefield,,0.44,0.39,,0.42,0.44,0.18,0.31,0.27,0.57
15,,123219711,los_replicantes,,0.35,0.37,,0.68,0.39,0.46,0.3,0.21,0.39
16,,1103159180,YannickBollore,,0.57,0.46,,0.53,0.36,0.29,0.56,0.39,0.34
17,,,,,,,,,,,,,
18,,848849402,MariannaTortell,,0.34,0.19,,0.45,0.43,0.4,0.35,0.43,0.09
19,,500295544,ricciosa_,,0.46,0.33,,0.53,0.26,0.36,0.19,0.39,0.27
20,,408422757,yumhoneyblood,,0.44,0.37,,0.34,0.22,0.23,0.37,0.49,0.36
21,,,,,,,,,,,,,
22,,478931304,CallyTommerz,,0.08,0.11,,0.32,0.17,0.06,0.12,0.15,0.02
23,,,,,,,,,,,,,
24,,415599782,HelCahill,,0.09,0.12,,0.1,0.12,0.2,0.15,0.16,0.08
25,,,,,,,,,,,,,
26,,1300271298,XSteph1,,0.18,0.15,,0.41,0.07,0.19,0.32,0.15,0.08
27,,2376840078,Levisonwood,,0.54,0.38,,0.33,0.39,0.4,0.17,0.35,0.58
28,,2399557279,KaspHaus,,0.37,0.27,,0.34,0.25,0.15,0.3,0.29,0.25
29,,,,,,,,,,,,,
30,,23498244,Mistyuk11,,0.23,0.15,,0.22,0.16,0.09,0.23,0.16,0.12
31,,191033632,KaminisG,,0.4,0.44,,0.43,0.48,0.45,0.22,0.48,0.22
32,,2783033377,PatriciaJLucas,,0.34,0.31,,0.46,0.36,0.22,0.3,0.43,0.35
33,,501877020,TrondheimHatter,,0.13,0.16,,0.27,0.09,0.16,0.14,0.09,0.04
34,,,,,,,,,,,,,
35,,16144559,Spaceprojects,,0.15,0.1,,0.33,0.13,0.08,0.19,0.18,0.06
36,,131659923,aishaghazi,,0.23,0.21,,0.27,0.14,0.09,0.25,0.26,0.07
37,,,,,,,,,,,,,
38,,1378085892,al_haden,,0.35,0.36,,0.49,0.34,0.26,0.45,0.34,0.22
39,,111770531,anchanjp,,0.49,0.47,,0.39,0.56,0.55,0.32,0.51,0.33
40,,8606342,CourtA,,0.41,0.31,,0.49,0.23,0.24,0.5,0.21,0.17
41,,550802496,WW1DReport,,0.43,0.44,,0.37,0.47,0.12,0.41,0.44,0.3
42,,2909696373,connieconsumes,,0.49,0.24,,0.48,0.35,0.03,0.41,0.23,0.37
43,,2593179065,JAMES_J0NES,,0.25,0.11,,0.32,0.1,0.11,0.12,0.22,0.13
44,,72248630,Agenzia_Italia,,0.39,0.42,,0.55,0.45,0.46,0.2,0.15,0.26
45,,2377456692,act4transhealth,,0.42,0.43,,0.49,0.47,0.18,0.27,0.51,0.41
46,,373535535,EconomicsTeach5,,0.28,0.15,,0.41,0.19,0.1,0.22,0.23,0.02
47,,341593530,HackneyLabour,,0.64,0.56,,0.52,0.55,0.56,0.59,0.51,0.34
48,,47456957,JamrockCapoeira,,0.24,0.22,,0.44,0.23,0.26,0.35,0.17,0.06
49,,135080932,Michael_Apter,,0.23,0.11,,0.51,0.15,0.48,0.66,0.21,0.07
50,,,,,,,,,,,,,
51,,42636496,clareoreilly,,0.4,0.37,,0.43,0.21,0.56,0.55,0.38,0.24
52,,82907628,diveinband,,0.36,0.18,,0.45,0.18,0.18,0.57,0.33,0.29
53,,341182645,David_McNair,,0.33,0.26,,0.48,0.27,0.12,0.31,0.48,0.28
54,,60818366,Pols80,,0.37,0.15,,0.45,0.15,0.03,0.25,0.13,0.05
55,,22656455,JesslaFox,,0.37,0.26,,0.21,0.3,0.27,0.31,0.29,0.27
56,,380286231,AHfoody,,0.33,0.29,,0.515,0.3,0.22,0.26,0.32,0.09
57,,3091376321,ManuelaCarmena,,0.52,0.42,,0.47,0.36,0.41,0.28,0.27,0.52
58,,268862229,Earindill,,0.29,0.25,,0.5,0.17,0.32,0.23,0.25,0.17
