id_str,screen_name,english,universal,content,friend,network,sentiment,temporal,user
23337989,gavmelling,0.32,0.37,0.32,0.28,0.27,0.13,0.18,0.26
223817257,trethewey20,0.37,0.24,0.58,0.22,0.41,0.54,0.37,0.33
261166172,hernhillforum,0.2,0.2,0.44,0.24,0.4,0.2,0.35,0.02
327998951,joeplanas,0.38,0.33,0.59,0.29,0.5,0.17,0.08,0.17
56230594,ndumimbatha,0.49,0.35,0.23,0.3,0.12,0.22,0.27,0.11
3020353673,Mo_The_Prophet,0.36,0.34,0.44,0.21,0.4,0.38,0.24,0.3
1506301,xtaldave,0.29,0.17,0.41,0.23,0.21,0.16,0.13,0.05
827497543,adoptedgog,0.27,0.2,0.39,0.27,0.23,0.07,0.17,0.05
1591763798,MeleSimone,0.2,0.07,0.29,0.06,0.12,0.06,0.07,0.08
97559754,hbroekhuisen,0.34,0.21,0.52,0.27,0.23,0.17,0.31,0.11
125968833,KateMcAndrew01,0.23,0.22,0.15,0.21,0.07,0.23,0.17,0.38
719276718771412992,i_libros,0.45,0.37,0.46,0.54,0.36,0.39,0.16,0.33
480169940,Stanka410,0.17,0.09,0.24,0.15,0.3,0.34,0.29,0.07
2762547258,palmertron10,0.59,0.45,0.55,0.53,0.47,0.49,0.51,0.43
1706189738,JordanfromCan,0.08,0.2,0.13,0.12,0.19,0.23,0.15,0.15
411738903,RMcaughey,,0.23,0.13,,0.15,0.21,0.08,0.28,0.31,0.08,
711088933,Yasinpatel97,,0.18,0.16,,0.46,0.23,0.12,0.51,0.19,0.1,
227449981,LeanneSpurs,,0.56,0.62,,0.62,0.7931471336512232,0.48,0.54,0.64,0.5,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,503963417,MdIqbalMorshed,,0.29,0.23,,0.44,0.32,0.17,0.43,0.23,0.09
,,,,,,,,,,,,
,1094840000,ClaireH_NN,,0.33,0.34,,0.67,0.4,0.33,0.3,0.26,0.07
,21780934,morgenmagazin,,0.35,0.32,,0.475,0.27,0.45,0.22,0.19,0.27
218133833,Truthteller1996,,0.48,0.32,,0.19,0.5,0.53,0.15,0.31,0.26,
29409786,Wriseup,,0.42,0.42,,0.44,0.49,0.44,0.25,0.41,0.24,
,,,,,,,,,,,,
4041645983,grumpyfred3,,0.33,0.36,,0.47,0.31,0.37,0.36,0.11,0.17,
341279317,iMercantile,,0.38,0.38,,0.81,0.53,0.53,0.74,0.83,0.09,
383951709,estate1710,0.38,0.27,0.37,0.35,0.21,0.33,0.55,0.33
452098509,AndyHammers,0.41,0.37,0.5,0.34,0.46,0.46,0.4,0.39
19477705,12ozCannon,0.12,0.14,0.16,0.22,0.1,0.25,0.16,0.11
2872976578,drivandalism,0.24,0.33,0.24,0.28,0.15,0.15,0.15,0.15
227948443,AmeerAzmin,0.14,0.19,0.26,0.18,0.2,0.19,0.18,0.01
368987358,AaronJosephBird,0.13,0.02,0.23,0.03,0.27,0.22,0.16,0.11
3346616985,G17Tricia,0.24,0.18,0.49,0.27,0.3,0.47,0.41,0.12
1072356338,Rugbymumno9,0.35,0.3,0.46,0.2,0.41,0.32,0.32,0.23
35221991,arketex,0.4,0.41,0.38,0.53,0.43,0.43,0.47,0.21
275754256,TommyBrain,0.56,0.38,0.54,0.42,0.45,0.38,0.17,0.27
4856642956,St0psch1ld,,0.46,0.46,,0.68,0.6,0.8147738095238094,0.65,0.47,0.32,
90798479,NumoQuest,,0.39,0.24,,0.39,0.32,0.32,0.44,0.68,0.09,
,,,,,,,,,,,,
2431975484,nikvaibhav3,,0.31,0.26,,0.49,0.23,0.08,0.41,0.19,0.35,
40243686,Godkin,,0.24,0.29,,0.21,0.5,0.23,0.05,0.41,0.16,
2371163729,donajaheen,,0.24,0.13,,0.44,0.38,0.21,0.31,0.28,0.05,
2768501,abcnews,,0.39,0.48,,0.39,0.57,0.47,0.27,0.51,0.48,
63524915,TimGreenWHU,,0.11,0.03,,0.19,0.08,0.15,0.22,0.16,0.11,
24503047,PKOMITES,,0.4,0.39,,0.5933333333333334,0.37,0.4,0.08,0.26,0.22,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1385453990,clivemitchell57,,0.18,0.15,,0.33,0.22,0.1,0.19,0.18,0.09
,509474447,DEBBIEMELDRUM,,0.37,0.26,,0.45,0.25,0.23,0.34,0.12,0.24
,8314922,Floppy,,0.27,0.18,,0.29,0.2,0.07,0.27,0.03,0.06
,36322649,Leigheff,,0.4,0.41,,0.34,0.37,0.21,0.5,0.26,0.19
68115226,bjpaddy,0.4,0.22,0.51,0.15,0.39,0.4,0.5,0.26
18504551,LouiseRidley,0.33,0.23,0.34,0.28,0.16,0.13,0.2,0.2
2716654852,VeldhuisC,0.34,0.24,0.44,0.18,0.39,0.13,0.47,0.19
3226525036,kirvirvi,0.22,0.29,0.5,0.2,0.12,0.17,0.23,0.28
200542288,LogicalBossman,0.16,0.08,0.22,0.11,0.35,0.23,0.07,0.02
34242760,JennyMorrisChef,0.38,0.44,0.44,0.23,0.53,0.3,0.3,0.3
3174036887,EUAreKidding,0.32,0.32,0.3,0.23,0.34,0.43,0.39,0.39
2367800094,masini90,0.32,0.24,0.43,0.2,0.15,0.38,0.22,0.13
493869412,Dun_Ad,0.5,0.35,0.49,0.5,0.27,0.49,0.45,0.26
247718617,leotaxil,0.36,0.3,0.4033333333333334,0.25,0.28,0.19,0.3,0.44
