,id_str,created_at,text,entities.hashtags,lang,user.screen_name,user.id_str,user.followers_count,user.friends_count,retweeted_status.id_str,retweeted_status.created_at,retweeted_status.text,retweeted_status.entities.hashtags,retweeted_status.lang,retweeted_status.user.screen_name,retweeted_status.user.id_str,retweeted_status.user.followers_count,retweeted_status.user.friends_count
0,911048657474113536,Fri Sep 22 02:05:01 +0000 2017,"EuropeUnion : Click HERE▶️https://t.co/iwDoMV68ZM
#EU #News #EuropeUnion
➡️David Rachline: l'anti-journaliste à la… https://t.co/3G3GSl4ByN","['EU', 'News', 'EuropeUnion']",fr,nathymora,308046422,611,404,,,,NO HASHTAGS,,,,,
1,911048676205826048,Fri Sep 22 02:05:05 +0000 2017,"Click HERE▶️https://t.co/Y3loSofx8E
#EU #News #EuropeUnion
➡️Rory McIlroy believes Europe will be the underdogs in… https://t.co/ez8QmHUSoj","['EU', 'News', 'EuropeUnion']",en,EuropeUnion,194119186,9489,586,,,,NO HASHTAGS,,,,,
2,911048690529431552,Fri Sep 22 02:05:08 +0000 2017,"EuropeUnion : Click HERE▶️https://t.co/hWrKk2ZMhD
#EU #News #EuropeUnion
➡️FLI CVNDSH Headphones… https://t.co/VIxQHUbM9I","['EU', 'News', 'EuropeUnion']",en,nathymora,308046422,611,404,,,,NO HASHTAGS,,,,,
3,911048692567760896,Fri Sep 22 02:05:09 +0000 2017,"RT @tsemtulku: Three art styles to see! https://t.co/sD090hDaSR

#buddhism
#buddhist
#europe
#canada
#usa
#russia
#malaysia
#vegan… ","['buddhism', 'buddhist', 'europe', 'canada', 'usa', 'russia', 'malaysia', 'vegan']",en,KumarTa69783205,882043107776184320,18,56,909939266695790592,Tue Sep 19 00:36:41 +0000 2017,"Three art styles to see! https://t.co/sD090hDaSR

#buddhism
#buddhist
#europe
#canada
#usa
#russia
#malaysia
#vegan… https://t.co/nBqxxM9hNX","['buddhism', 'buddhist', 'europe', 'canada', 'usa', 'russia', 'malaysia', 'vegan']",en,tsemtulku,23065876,452447.0,169.0
4,911048712570462210,Fri Sep 22 02:05:14 +0000 2017,Thread. #Brexit https://t.co/oG4MqhTJMt,['Brexit'],en,SergioTavaresUK,2178018878,203,418,,,,NO HASHTAGS,,,,,
5,911048717414883328,Fri Sep 22 02:05:15 +0000 2017,Brexiteers are not necessarily fleeing from May;  They are distancing themselves from the reality of #Brexit.  She'… https://t.co/sZcMOfY0sF,['Brexit'],en,keira_churchill,730602471979159552,1552,1202,,,,NO HASHTAGS,,,,,
6,911048735588831232,Fri Sep 22 02:05:19 +0000 2017,RT @WAGNERGIRLE: Dear @gop -I will keep it simple: JUST REPEAL OBAMACARE. You have 2yrs to replace. #September30 is coming. You waste this:…,['September30'],en,randy_barnes,237750885,188,130,911037375924535298,Fri Sep 22 01:20:11 +0000 2017,Dear @gop -I will keep it simple: JUST REPEAL OBAMACARE. You have 2yrs to replace. #September30 is coming. You waste this: #VOTEOUT #MAGA,"['September30', 'VOTEOUT', 'MAGA']",en,WAGNERGIRLE,22456513,58062.0,38115.0
7,911048765498380288,Fri Sep 22 02:05:26 +0000 2017,RT @RebetikoWalrus: Rumour has it the Magic Money Tree is going to give £20 BILLION of our money away to buy May's illegal #Brexit. https:/…,['Brexit'],en,jbwhitesnake,200818199,7698,8212,910932716803252224,Thu Sep 21 18:24:18 +0000 2017,Rumour has it the Magic Money Tree is going to give £20 BILLION of our money away to buy May's illegal #Brexit. https://t.co/82o2JGLsoQ,['Brexit'],en,RebetikoWalrus,144827236,2638.0,1977.0
8,911048782716051458,Fri Sep 22 02:05:30 +0000 2017,👀 Egen objektivitet over for #EU + #Rusland + #Syrien + #Bashar finder du her 😉  https://t.co/0jPgoAHIh2,"['EU', 'Rusland', 'Syrien', 'Bashar']",no,TooglesDK,838661199474589696,23,14,,,,NO HASHTAGS,,,,,
9,911048796074803200,Fri Sep 22 02:05:34 +0000 2017,"RT @gabrieleimperia: #Spagna, scontri violenti tra #indipendentisti e #GuardiaCivil. #Puigdemont: “#Referendum si farà” https://t.co/2b4MSi…","['Spagna', 'indipendentisti', 'GuardiaCivil', 'Puigdemont', 'Referendum']",it,Nenufar87,3221849296,33,236,910505603658915840,Wed Sep 20 14:07:06 +0000 2017,"#Spagna, scontri violenti tra #indipendentisti e #GuardiaCivil. #Puigdemont: “#Referendum si farà” https://t.co/2b4MSi78jp via @Oggi Palermo","['Spagna', 'indipendentisti', 'GuardiaCivil', 'Puigdemont', 'Referendum']",it,gabrieleimperia,2570390884,3307.0,2427.0
10,911048805369315329,Fri Sep 22 02:05:36 +0000 2017,"⚡ Retweet &amp; Follow ⚡ 

  ⏩ @_o_GAZ_o_ 
  ⏩ @Funnyguy99Guy 
  ⏩ @LanceCampin 
  ⏩ @smhmlg 

/11:05 #FBA #Europe","['FBA', 'Europe']",en,FBA_EUROPE,2643740437,6183,6802,,,,NO HASHTAGS,,,,,
11,911048827733463040,Fri Sep 22 02:05:41 +0000 2017,RT @keira_churchill: Brexiteers are not necessarily fleeing from May;  They are distancing themselves from the reality of #Brexit.  She'… ,['Brexit'],en,woifim,1331204348,1135,1001,911048717414883328,Fri Sep 22 02:05:15 +0000 2017,Brexiteers are not necessarily fleeing from May;  They are distancing themselves from the reality of #Brexit.  She'… https://t.co/sZcMOfY0sF,['Brexit'],en,keira_churchill,730602471979159552,1552.0,1202.0
12,911048830736531457,Fri Sep 22 02:05:42 +0000 2017,RT @SergioTavaresUK: Thread. #Brexit https://t.co/oG4MqhTJMt,['Brexit'],en,woifim,1331204348,1135,1001,911048712570462210,Fri Sep 22 02:05:14 +0000 2017,Thread. #Brexit https://t.co/oG4MqhTJMt,['Brexit'],en,SergioTavaresUK,2178018878,203.0,418.0
13,911048834083672065,Fri Sep 22 02:05:43 +0000 2017,A particularly good map. https://t.co/ybjpdsYUe8,NO HASHTAGS,en,sousibrown,401060976,1164,1479,,,,NO HASHTAGS,,,,,
14,911048834142351360,Fri Sep 22 02:05:43 +0000 2017,"RT @devototone: Theresa May must show that we mean business after she makes generous offer to the EU
#eu #leave #brexit https://t.co/zg0W8Z…","['eu', 'leave', 'brexit']",en,woifim,1331204348,1135,1001,911048575282483200,Fri Sep 22 02:04:41 +0000 2017,"Theresa May must show that we mean business after she makes generous offer to the EU
#eu #leave #brexit https://t.co/zg0W8ZG54J","['eu', 'leave', 'brexit']",en,devototone,1032419712,178.0,88.0
15,911048835404910594,Fri Sep 22 02:05:43 +0000 2017,"RT @MurffyJohn: Biafrans terrorists do not #vote, we should not #vote #CASECLOSED #REFERENDUM FOR BIAFRA! https://t.co/JSg1qYiqhQ https://t…","['vote', 'vote', 'CASECLOSED', 'REFERENDUM']",en,SamSamjonesel,3015273017,1885,2926,910862595522998273,Thu Sep 21 13:45:40 +0000 2017,"Biafrans terrorists do not #vote, we should not #vote #CASECLOSED #REFERENDUM FOR BIAFRA! https://t.co/JSg1qYiqhQ https://t.co/EZI8s5WhmG","['vote', 'vote', 'CASECLOSED', 'REFERENDUM']",en,MurffyJohn,725870553853100032,2201.0,17.0
16,911048837933957120,Fri Sep 22 02:05:44 +0000 2017,RT @prO5pero222: #Ask108 questions https://t.co/hBbw2EyAUc #Divination #KlaudioZic #Trading #Astrology #Brexit #Forex #SharkTank #… https:/…,"['Ask108', 'Divination', 'KlaudioZic', 'Trading', 'Astrology', 'Brexit', 'Forex', 'SharkTank']",en,woifim,1331204348,1135,1001,911048485373464576,Fri Sep 22 02:04:20 +0000 2017,#Ask108 questions https://t.co/hBbw2EyAUc #Divination #KlaudioZic #Trading #Astrology #Brexit #Forex #SharkTank #… https://t.co/glHevLIjzp,"['Ask108', 'Divination', 'KlaudioZic', 'Trading', 'Astrology', 'Brexit', 'Forex', 'SharkTank']",en,prO5pero222,722111387800100864,446.0,753.0
17,911048840932921344,Fri Sep 22 02:05:44 +0000 2017,RT @Corsicasia: Short #gbpaud intraday before brexit speech enter at 1.7168 for 40-50 pips-- target 1.7122-28 #GBP #aud #brexit… ,"['gbpaud', 'GBP', 'aud', 'brexit']",en,woifim,1331204348,1135,1001,911048482370330624,Fri Sep 22 02:04:19 +0000 2017,Short #gbpaud intraday before brexit speech enter at 1.7168 for 40-50 pips-- target 1.7122-28 #GBP #aud #brexit… https://t.co/GWNhcQsuJO,"['gbpaud', 'GBP', 'aud', 'brexit']",en,Corsicasia,2214130142,40.0,2.0
18,911048843499855874,Fri Sep 22 02:05:45 +0000 2017,"RT @EUVoteLeave23rd: #EU believes #PM's rumoured offer is too low 😳 We've ploughed £500bn into this abomination, any amount is too high.… ","['EU', 'PM']",en,ricker_carolyn,2238532361,144,124,910938594126245890,Thu Sep 21 18:47:39 +0000 2017,"#EU believes #PM's rumoured offer is too low 😳 We've ploughed £500bn into this abomination, any amount is too high.… https://t.co/A2i1obsUkk","['EU', 'PM']",en,EUVoteLeave23rd,701866563268378626,19115.0,21009.0
19,911048843919265792,Fri Sep 22 02:05:45 +0000 2017,RT @Anon_Eu: The UK’s #Brexit hostage https://t.co/b9EA9DmdB0 #WorldNews #News https://t.co/hrhnqYhiCx,"['Brexit', 'WorldNews', 'News']",en,woifim,1331204348,1135,1001,911048469023940609,Fri Sep 22 02:04:16 +0000 2017,The UK’s #Brexit hostage https://t.co/b9EA9DmdB0 #WorldNews #News https://t.co/hrhnqYhiCx,"['Brexit', 'WorldNews', 'News']",en,Anon_Eu,813899491,12973.0,6864.0
