,0,id_str,screen_name,0,english,universal,0,content,friend,network,sentiment,temporal,user
0,,2799616308,allanwhyte81,,0.35,0.29,,0.79,0.39,0.68,0.12,0.44,0.15
1,,3224059300,blueghosties,,0.33,0.35,,0.39,0.27,0.4,0.47,0.13,0.05
2,,358431044,83Kindy,,0.39,0.49,,0.56,0.55,0.63,0.19,0.26,0.47
3,,3043516535,WheezingWez,,0.22,0.18,,0.27,0.2,0.33,0.11,0.38,0.06
4,,177425949,abacohosting,,0.45,0.4,,0.68,0.58,0.64,0.76,0.37,0.3
5,,197391195,Wingloss,,0.31,0.25,,0.51,0.26,0.44,0.16,0.28,0.07
6,,17680740,rijago,,0.42,0.25,,0.34,0.37,0.41,0.44,0.55,0.19
7,,180540061,JSLefebvre,,0.48,0.49,,0.51,0.39,0.45,0.5,0.53,0.47
8,,105772005,arna1cb,,0.3,0.21,,0.41,0.14,0.41,0.09,0.15,0.19
9,,243377060,llunavermella,,0.38,0.35,,0.46,0.4,0.54,0.25,0.28,0.34
10,,8.46269E+17,Facts4euOrg,,0.36,0.32,,0.4,0.24,0.38,0.39,0.15,0.37
11,,1673784182,wimthetim,,0.38,0.41,,0.49,0.32,0.4,0.42,0.39,0.32
12,,2966785665,DelardoKelle,,0.38,0.33,,0.48,0.31,0.59,0.58,0.26,0.27
13,,194119186,EuropeUnion,,0.54,0.42,,0.56,0.51,0.61,0.54,0.35,0.26
14,,210786621,DAVIDEDUARDOJL,,0.33,0.2,,0.53,0.32,0.11,0.31,0.52,0.07
15,,57402772,Krys2549,,0.31,0.22,,0.52,0.15,0.46,0.41,0.27,0.12
16,,3182090610,chinenyemaryan9,,0.62,0.65,,0.53,0.47,0.59,0.43,0.59,0.7
17,,565391175,jmaccy14,,0.28,0.2,,0.36,0.21,0.16,0.3,0.36,0.12
18,,1307870299,AWMCheung,,0.24,0.24,,0.34,0.32,0.21,0.35,0.22,0.16
19,,253211003,pausantandreu,,0.33,0.37,,0.32,0.22,0.42,0.21,0.18,0.11
20,,96977991,w_nicht,,0.27,0.2,,0.43,0.2,0.26,0.23,0.14,0.19
21,,52666996,Eurochild_org,,0.51,0.51,,0.52,0.39,0.48,0.29,0.32,0.3
22,,4059884321,nohemi90000,,0.36,0.33,,0.403333333,0.24,0.31,0.41,0.32,0.1
23,,1463232931,LawroNCB,,0.4,0.25,,0.42,0.08,0.46,0.58,0.21,0.21
24,,4745204123,IsThisAB0t,,0.55,0.55,,0.49,0.55,0.68,0.58,0.42,0.61
25,,806850055,enisa_eu,,0.49,0.45,,0.45,0.46,0.53,0.4,0.28,0.42
26,,830426155,Kellliure,,0.46,0.5,,0.453333333,0.51,0.3,0.24,0.32,0.11
27,,205918348,mikee_99,,0.18,0.2,,0.44,0.21,0.21,0.45,0.24,0.11
28,,9.08066E+17,AnnBank41695841,,0.45,0.43,,0.49,0.4,0.52,0.52,0.39,0.33
29,,7.93751E+17,101ECV_GADGET,,0.34,0.33,,0.473333333,0.38,0.31,0.36,0.46,0.12
30,,8.84829E+17,s3cmas73r,,0.49,0.53,,0.53,0.5,0.5,0.81,0.62,0.477840376
31,,2643740437,FBA_EUROPE,,0.54,0.66,,0.38,0.78,0.59,0.156666667,0.31,0.59
32,,8.20206E+17,Ganjinekeyhani,,0.54,0.6,,0.45,0.59,0.38,0.37,0.41,0.39
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,2861381216,SiennaMorgan7,,0.3,0.35,,0.42,0.18,0.39,0.22,0.18,0.18
36,,44361937,sack_am,,0.36,0.24,,0.49,0.16,0.49,0.15,0.33,0.23
37,,8.9949E+17,Heorio1,,0.54,0.4,,0.565,0.53,0.5,0.74,0.54,0.31
38,,7.66782E+17,gukouj_kaori,,0.31,0.3,,0.6,0.32,0.34,0.63,0.56,0.43
39,,3025165432,ciaocoxy,,0.47,0.48,,0.6,0.45,0.3,0.46,0.54,0.73
40,,3245256773,mise_aine,,0.36,0.23,,0.37,0.24,0.25,0.16,0.17,0.23
41,,294903875,macruces,,0.37,0.33,,0.46,0.22,0.53,0.18,0.28,0.26
42,,3025020625,rossiter1497,,0.45,0.36,,0.4,0.47,0.49,0.19,0.28,0.37
43,,235288604,ChrDavis,,0.28,0.23,,0.513333333,0.34,0.38,0.05,0.29,0.04
44,,153464869,lanct22,,0.59,0.46,,0.56,0.58,0.57,0.5,0.39,0.44
45,,513051520,john1966olsen,,0.45,0.4,,0.51,0.29,0.3,0.33,0.42,0.23
46,,117271814,goodbuysalltime,,0.43,0.28,,0.47,0.37,0.38,0.33,0.17,0.07
47,,42589787,RANsquawk,,0.38,0.3,,0.38,0.37,0.11,0.32,0.18,0.26
48,,29489523,jasontanamor,,0.52,0.44,,0.29,0.31,0.25,0.19,0.04,0.5
49,,3437695749,ValerieAstles,,0.46,0.33,,0.52,0.33,0.4,0.53,0.45,0.24
50,,87649251,soundabuse,,0.32,0.33,,0.5,0.3,0.58,0.63,0.13,0.13
51,,236599045,sittingbulldogs,,0.4,0.3,,0.43,0.45,0.49,0.47,0.46,0.35
52,,7053452,countryboylife,,0.39,0.2,,0.41,0.17,0.35,0.25,0.15,0.15
53,,262829071,60gracemurr,,0.51,0.28,,0.54,0.38,0.41,0.49,0.42,0.24
54,,8.30108E+17,EU_Remain_2017,,0.52,0.45,,0.48,0.49,0.49,0.49,0.36,0.36
55,,29414495,marc_vi,,0.31,0.22,,0.44,0.23,0.37,0.24,0.19,0.16
56,,19588516,gnu_andrew,,0.31,0.26,,0.37,0.23,0.3,0.2,0.28,0.17
57,,21071916,BBCLeisha,,0.3,0.19,,0.22,0.29,0.22,0.07,0.17,0.14
58,,7.70592E+17,bettereroger,,0.2,0.17,,0.23,0.24,0.12,0.37,0.18,0.06
59,,2754999109,mark_hollohead,,0.39,0.25,,0.63,0.23,0.71,0.34,0.06,0.31
60,,400938274,HansLangbroek,,0.28,0.18,,0.48,0.14,0.23,0.14,0.09,0.04
61,,103405165,smujal,,0.42,0.36,,0.59,0.39,0.27,0.17,0.15,0.23
62,,2306574068,Berenberg_Econ,,0.45,0.45,,0.54,0.5,0.57,0.31,0.57,0.64
63,,7.27923E+17,RevolutionsCen,,0.72,0.61,,0.7,0.46,0.63,0.45,0.4,0.55
64,,,,,,,,,,,,,
65,,360248242,Cartera88,,0.33,0.04,,0.473333333,0.16,0.21,0.17,0.15,0.01
66,,3144261706,Lockhart_Br,,0.52,0.37,,0.543333333,0.4,0.49,0.23,0.3,0.28
67,,231750350,debbaff,,0.32,0.25,,0.4,0.32,0.12,0.29,0.31,0.09
68,,503276056,callmeharvey,,0.22,0.08,,0.28,0.09,0.4,0.18,0.1,0.01
69,,351630233,VeroVero777,,0.34,0.26,,0.52,0.28,0.45,0.28,0.34,0.3
70,,54015628,Ferretgrove,,0.33,0.28,,0.48,0.25,0.44,0.35,0.11,0.08
71,,3296958574,SexyUkip,,0.45,0.34,,0.32,0.24,0.19,0.46,0.31,0.24
72,,9.10486E+17,ARealDudeok,,0.26,0.35,,0.34,0.33,0.25,0.3,0.14,0.32
73,,2317666772,LynAraucana,,0.38,0.3,,0.5,0.3,0.25,0.48,0.32,0.2
74,,3980156787,TurboLogic_UK,,0.3,0.44,,0.24,0.24,0.34,0.29,0.1,0.02
75,,8.2497E+17,AfaceriEuropene,,0.38,0.41,,0.55,0.39,0.42,0.42,0.28,0.51
76,,23227936,alicmurray,,0.41,0.23,,0.46,0.17,0.52,0.35,0.2,0.22
77,,281522957,k3books,,0.4,0.38,,0.47,0.29,0.21,0.25,0.2,0.43
78,,1435509956,Cerrighedd,,0.46,0.12,,0.48,0.43,0.46,0.58,0.44,0.04
79,,2562268036,tina_tinalondon,,0.42,0.36,,0.48,0.32,0.46,0.4,0.4,0.23
80,,194167344,mantasmalukas,,0.33,0.46,,0.42,0.36,0.28,0.39,0.19,0.15
81,,7.0258E+17,JordanTzvetkov,,0.5,0.46,,0.47,0.53,0.44,0.6,0.81,0.38
82,,555786188,FangornForest1,,0.18,0.18,,0.29,0.22,0.24,0.21,0.23,0.11
83,,630490891,NicoVIII_RL,,0.28,0.06,,0.41,0.06,0.13,0.22,0.11,0.11
84,,85927761,MarkKSnell,,0.35,0.29,,0.45,0.25,0.22,0.33,0.16,0.1
85,,3802200040,anonywhusP,,0.38,0.29,,0.49,0.43,0.25,0.51,0.16,0.26
86,,40576376,traceyuk4,,0.31,0.25,,0.33,0.24,0.31,0.2,0.47,0.13
87,,247176719,paulrikmans,,0.52,0.47,,0.39,0.4,0.34,0.22,0.43,0.18
88,,142883006,CarbonisedPleb,,0.49,0.36,,0.41,0.45,0.25,0.39,0.29,0.25
89,,,,,,,,,,,,,
90,,523256057,fabreeze1,,0.14,0.17,,0.32,0.17,0.15,0.1,0.12,0.02
91,,316424148,PereFrancesch,,0.37,0.23,,0.385,0.19,0.31,0.05,0.35,0.17
92,,8.19874E+17,DermotFoley6,,0.5,0.57,,0.55,0.49,0.56,0.53,0.53,0.44
93,,305798265,kennedymp43,,0.24,0.36,,0.39,0.3,0.44,0.51,0.29,0.37
94,,9.05024E+17,SocioTiggerPhD,,0.37,0.26,,0.34,0.13,0.15,0.16,0.23,0.15
95,,2174470418,JFCrisp,,0.34,0.39,,0.49,0.36,0.17,0.25,0.16,0.56
96,,,,,,,,,,,,,
97,,3253276690,crewsure,,0.46,0.46,,0.67,0.81,0.65,0.39,0.55,0.37
98,,7.26871E+17,DVzxcvbnmccBB,,0.34,0.49,,0.59,0.793147134,0.8,0.476666667,0.79,0.24
99,,4767910995,ruthmagin,,0.43,0.34,,0.34,0.42,0.25,0.38,0.25,0.3
100,,210888724,BigHairyMarty,,0.33,0.38,,0.45,0.27,0.52,0.2,0.32,0.25
101,,7.33244E+17,ActusPolitiques,,0.63,0.62,,0.44,0.6,0.66,0.07,0.17,0.5
102,,4209823162,melwest14,,0.52,0.4,,0.28,0.46,0.25,0.33,0.23,0.11
103,,9.07595E+17,Eylem14433390,,0.42,0.47,,0.53,0.45,0.32,0.53,0.5,0.68
104,,97918436,DJAsadKhan,,0.22,0.3,,0.4,0.32,0.21,0.39,0.37,0.13
105,,7.69134E+17,maelysdervenn,,0.43,0.32,,0.5,0.21,0.35,0.37,0.36,0.26
106,,7.6965E+17,Liberal_London_,,0.32,0.17,,0.33,0.18,0.26,0.31,0.13,0.04
107,,361389361,Felicidad_15,,0.3,0.04,,0.41,0.04,0.26,0.03,0.14,0.01
108,,473851713,ButcherMartin,,0.43,0.3,,0.45,0.36,0.28,0.31,0.08,0.26
109,,630593966,BornLondoner,,0.39,0.46,,0.4,0.52,0.29,0.22,0.1,0.09
110,,497083469,WelshBrideGuide,,0.19,0.14,,0.33,0.28,0.11,0.16,0.14,0.04
111,,9.10475E+17,PedroGo64657215,,0.4,0.36,,0.45,0.28,0.35,0.29,0.12,0.28
112,,482164245,alfcongostrina,,0.52,0.47,,0.6,0.44,0.49,0.28,0.66,0.19
113,,2600279906,Walmyh,,0.45,0.21,,0.440833333,0.21,0.15,0.35,0.13,0.15
114,,8.95315E+17,Berty_boi_new,,0.27,0.27,,0.33,0.21,0.09,0.39,0.03,0.03
115,,65872459,siragpita,,0.35,0.26,,0.453333333,0.18,0.4,0.14,0.11,0.13
116,,284997069,economia_feed_1,,0.34,0.26,,0.745,0.793147134,0.85,0.56,0.9,0.16
117,,8.4922E+17,LOlivetteNue,,0.49,0.55,,0.56,0.46,0.59,0.54,0.4,0.56
118,,320131750,DonaldJudge,,0.36,0.25,,0.37,0.32,0.17,0.24,0.37,0.1
119,,8.80377E+17,MoraviaEurope,,0.51,0.41,,0.61,0.52,0.46,0.57,0.28,0.39
120,,7.8084E+17,TakingJobs,,0.51,0.42,,0.73,0.51,0.57,0.7,0.48,0.41
121,,24413773,PrincessFidelma,,0.39,0.34,,0.4,0.54,0.23,0.44,0.13,0.36
122,,520369387,gatamaulabcn,,0.31,0.25,,0.42,0.21,0.4,0.16,0.35,0.1
123,,2885962761,Walk_0ff,,0.3,0.21,,0.22,0.23,0.29,0.28,0.27,0.11
124,,9.15755E+17,ayosportstalk,,0.29,0.19,,0.35,0.16,0.14,0.16,0.14,0.15
125,,419055598,panthervipul,,0.19,0.07,,0.43,0.15,0.16,0.12,0.15,0
126,,3395253801,fiscotorg,,0.5,0.52,,0.47,0.51,0.22,0.68,0.21,0.47
127,,135857034,D_Raval,,0.42,0.35,,0.39,0.24,0.38,0.26,0.34,0.51
128,,68701161,rudolfabraham,,0.31,0.27,,0.49,0.27,0.53,0.34,0.3,0.25
129,,467896939,nofearmio,,0.32,0.25,,0.44,0.15,0.41,0.18,0.34,0.2
130,,8.13293E+17,LITechNewsPosts,,0.33,0.3,,0.92,0.793147134,0.72,0.79,0.32,0.49
131,,115393565,StefSimanowitz,,0.41,0.36,,0.49,0.44,0.46,0.38,0.14,0.4
132,,3053380255,Gerrypoes,,0.29,0.55,,0.5,0.25,0.28,0.12,0.15,0.09
133,,297649526,marinasginer,,0.34,0.26,,0.5,0.36,0.34,0.37,0.3,0.51
134,,4358588292,johwilcha,,0.36,0.41,,0.41,0.38,0.32,0.33,0.03,0.19
135,,100618307,_witty_n_wise_,,0.21,0.16,,0.15,0.31,0.06,0.06,0.07,0.06
136,,440976913,UKNOAH,,0.48,0.56,,0.42,0.53,0.36,0.57,0.41,0.13
137,,34872481,jordicornet,,0.37,0.18,,0.48,0.33,0.27,0.21,0.26,0.14
138,,311158000,MRialp,,0.37,0.39,,0.47,0.19,0.42,0.11,0.24,0.38
139,,36692104,psweetman,,0.41,0.34,,0.61,0.31,0.45,0.44,0.27,0.11
140,,573511892,OlileBussy,,0.24,0.1,,0.39,0.13,0.21,0.2,0.11,0.09
141,,8.25977E+17,EHFoundation237,,0.59,0.6,,0.46,0.7,0.61,0.43,0.47,0.56
142,,2306726460,UKIPedwardfila,,0.27,0.17,,0.32,0.12,0.11,0.26,0.3,0.08
143,,137204211,charlottew_1991,,0.25,0.15,,0.34,0.23,0.18,0.22,0.1,0.07
144,,101881819,PaulPeartSmith,,0.23,0.17,,0.29,0.15,0.2,0.12,0.16,0.13
145,,560395915,DKPreedy,,0.27,0.14,,0.47,0.28,0.15,0.39,0.23,0.03
146,,7.99925E+17,Baran66936658,,0.53,0.58,,0.52,0.5,0.43,0.33,0.36,0.3
147,,16270167,BevEmans,,0.4,0.32,,0.47,0.19,0.35,0.52,0.14,0.14
148,,3171136719,chrisharley1994,,0.23,0.23,,0.48,0.23,0.23,0.13,0.21,0.23
149,,2927340570,EmergingNepal,,0.65,0.64,,0.78,0.76,0.47,0.49,0.47,0.5
150,,18602626,WitchEnd,,0.46,0.39,,0.36,0.46,0.39,0.45,0.23,0.33
151,,7.26066E+17,caring_mobile,,0.57,0.58,,0.59,0.69,0.55,0.46,0.45,0.64
152,,375731000,KevinJamessfm,,0.52,0.48,,0.59,0.64,0.53,0.35,0.08,0.03
153,,,,,,,,,,,,,
154,,1469787307,RexelFoundation,,0.4,0.3,,0.52,0.38,0.33,0.46,0.23,0.13
155,,254478828,hurunui9414,,0.33,0.18,,0.45,0.44,0.53,0.52,0.52,0.2
156,,1363773223,KatCedro,,0.25,0.29,,0.38,0.29,0.28,0.3,0.25,0.07
157,,608971524,IvoOlivenbaum,,0.18,0.23,,0.32,0.2,0.43,0.27,0.45,0.1
158,,556236575,kassandragalind,,0.3,0.23,,0.43,0.32,0.19,0.22,0.14,0.1
159,,2734304844,ProCubeUK,,0.75,0.68,,0.67,0.77,0.696083333,0.6,0.61,0.64
160,,2331985827,vila_quim,,0.45,0.5,,0.44,0.18,0.38,0.14,0.23,0.15
161,,244696876,veronica_velazq,,0.23,0.26,,0.34,0.4,0.19,0.26,0.17,0.09
162,,122097314,RuthDevlin,,0.39,0.32,,0.47,0.31,0.34,0.36,0.23,0.12
163,,2492552898,realdavedoubleu,,0.25,0.21,,0.34,0.23,0.24,0.21,0.33,0.33
164,,2469648354,AndrewJohnKidd,,0.33,0.38,,0.47,0.19,0.15,0.14,0.19,0.64
165,,8.99323E+17,moms_meet,,0.56,0.5,,0.61,0.45,0.46,0.79,0.47,0.49
166,,17588665,jordimurgo,,0.44,0.29,,0.473333333,0.45,0.45,0.39,0.25,0.23
167,,98993077,RichKelsey,,0.45,0.46,,0.58,0.61,0.48,0.51,0.3,0.17
168,,7.84422E+17,CommitConserv,,0.53,0.54,,0.66,0.7,0.58,0.66,0.31,0.49
169,,409210532,LaCatholicState,,0.27,0.22,,0.44,0.3,0.26,0.4,0.2,0.12
170,,8.27891E+17,FDeganis,,0.36,0.34,,0.43,0.22,0.18,0.26,0.23,0.07
171,,,,,,,,,,,,,
172,,235732777,riamarie2011,,0.33,0.35,,0.32,0.35,0.42,0.11,0.2,0.05
173,,7.5527E+17,swallowtailuk,,0.34,0.3,,0.27,0.15,0.18,0.12,0.33,0.06
174,,363345099,Gregor_Gregor,,0.4,0.17,,0.48,0.2,0.17,0.18,0.14,0.14
175,,500926020,Anonden,,0.26,0.21,,0.36,0.22,0.27,0.2,0.1,0
176,,216032810,mwgehring,,0.35,0.35,,0.41,0.37,0.43,0.47,0.16,0.16
177,,292619181,scarletmonahan,,0.56,0.54,,0.45,0.48,0.5,0.32,0.38,0.51
